districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Pyuthan,2,Pyuthan 2,26.98,0,0,0,0,0,0,56.77,53.67,65,11.11,88.89,M,CPNM
Ramechhap,1,Ramechhap 1,47.98,0,0,0,0,0,0,46.61,43.2,35,0,100,M,CPNM
Ramechhap,2,Ramechhap 2,59.98,2.2,14.29,4.4,69.24,16.49,73.64,57.02,37.47,35,6.67,93.33,M,CPNM
Rasuwa,1,Rasuwa 1,54.31,12.33,6.16,0,27.74,18.49,27.74,63.27,40.86,32,14.29,85.71,M,CPNM
Rautahat,1,Rautahat 1,11.5,0,0,0,0,0,0,59.26,42.32,31,7.14,92.86,M,IND
Rautahat,2,Rautahat 2,9.55,0,0,0,0,0,0,68.33,38.26,45,3.7,96.3,M,NC
Rautahat,3,Rautahat 3,30.09,0,0,0,0,0,0,66.39,38.45,36,4.55,95.45,M,CPNM
Rautahat,4,Rautahat 4,20.96,0,0,0,0,0,0,66.94,40.92,40,8.33,91.67,M,NC
Rautahat,5,Rautahat 5,21.77,0,0,0,0,0,0,67.85,41.12,49,0,100,M,TMLP
Rautahat,6,Rautahat 6,24.77,52.81,49.71,10.87,60.58,102.52,71.45,63.55,42.92,37,12.5,87.5,M,CPNM
Rolpa,1,Rolpa 1,68.95,16.78,4.2,202.79,167.82,20.98,370.61,53.76,46.64,34,9.09,90.91,F,CPNM
Rolpa,2,Rolpa 2,72.24,0,0,0,0,0,0,57.45,41.88,52,12.5,87.5,M,CPNM
Rukum,1,Rukum 1,77.92,23.37,10.9,56.08,644.91,34.27,700.99,62.79,40.13,30,37.5,62.5,F,CPNM
Rukum,2,Rukum 2,63.25,0,0,0,0,0,0,71.69,42.88,46,0,100,M,CPNM
Rupandehi,1,Rupandehi 1,26.04,0,0,0,0,0,0,62.38,45.52,38,13.04,86.96,M,CPNM
Rupandehi,2,Rupandehi 2,20.16,0,0,0,0,0,0,58.29,46.14,27,0,100,M,MJFN
Rupandehi,3,Rupandehi 3,22.31,12.49,57.47,34.98,39.98,69.96,74.96,64.72,42.92,46,20,80,M,NC
Rupandehi,4,Rupandehi 4,28.16,0,0,0,0,0,0,55.13,48.1,48,5,95,M,UML
Rupandehi,5,Rupandehi 5,24.15,0,0,0,0,0,0,61.97,39.87,45,0,100,M,UML
Rupandehi,6,Rupandehi 6,7.75,0,0,0,0,0,0,59.97,46.64,33,9.09,90.91,M,MJFN
Rupandehi,7,Rupandehi 7,9.89,0,0,0,0,0,0,62.18,42.26,39,3.7,96.3,M,MJFN
Salyan,1,Salyan 1,55.25,2.56,7.68,51.21,102.42,10.24,153.63,63.54,41,42,12.5,87.5,M,CPNM
Salyan,2,Salyan 2,39.33,0,0,0,0,0,0,55.93,44.45,46,0,100,M,CPNM
Sankhuwasabha,1,Sankhuwasabha 1,41.43,9.01,27.02,19.51,73.55,36.03,93.06,46.92,50.11,43,0,100,M,CPNM
Sankhuwasabha,2,Sankhuwasabha 2,26.89,0,0,0,0,0,0,48.19,45.64,42,0,100,M,UML
Saptari,1,Saptari 1,16.56,9.64,52.32,13.77,13.77,61.96,27.54,65.06,42.42,48,0,100,M,MJFN
Saptari,2,Saptari 2,10.66,0,0,0,0,0,0,57.78,47.08,47,8.33,91.67,M,MJFN
Saptari,3,Saptari 3,11.92,0,0,0,0,0,0,57.43,48.43,37,3.57,96.43,M,NSP
Saptari,4,Saptari 4,5.91,0,0,0,0,0,0,71.54,43.84,39,12,88,F,MJFN
Saptari,5,Saptari 5,14.77,0,0,0,0,0,0,66.26,45,49,11.54,88.46,M,IND
Saptari,6,Saptari 6,5.71,0,0,0,0,0,0,66.99,46.35,49,11.76,88.24,M,MJFN
Sarlahi,1,Sarlahi 1,21.86,0,0,0,0,0,0,58.04,43.38,49,14.29,85.71,M,UML
Sarlahi,2,Sarlahi 2,5.16,12.37,28.46,47.02,81.66,40.83,128.68,66.21,44.32,40,0,100,M,UML
Sarlahi,3,Sarlahi 3,13.41,0,0,0,0,0,0,64.2,40.68,47,4.55,95.45,F,TMLP
Sarlahi,4,Sarlahi 4,1.78,0,0,0,0,0,0,65.58,44.42,49,3.85,96.15,M,NSP
Sarlahi,5,Sarlahi 5,3.78,0,0,0,0,0,0,68.19,44.94,42,3.03,96.97,M,NSP
Sarlahi,6,Sarlahi 6,0.51,0,0,0,0,0,0,68.07,40.36,38,4.55,95.45,M,MJFN
Sindhuli,1,Sindhuli 1,34.16,0,0,0,0,0,0,57.11,38.4,40,20,80,M,UML
Sindhuli,2,Sindhuli 2,43.4,10.43,7.82,79.49,56.03,18.25,135.52,55.24,47.42,60,0,100,M,CPNM
Sindhuli,3,Sindhuli 3,43.13,0,0,0,0,0,0,52.75,43.5,38,16.67,83.33,F,CPNM
Sindhupalchok,1,Sindhupalchok 1,40.3,0,0,0,0,0,0,57.53,43.56,32,6.25,93.75,M,CPNM
Sindhupalchok,2,Sindhupalchok 2,58.01,0,0,0,0,0,0,59.06,43.81,50,6.25,93.75,M,CPNM
Sindhupalchok,3,Sindhupalchok 3,30.22,19.92,33.61,23.65,41.08,53.53,64.73,58.55,42.5,34,0,100,M,CPNM
Siraha,1,Siraha 1,8.39,0,0,0,0,0,0,61.76,42.52,57,4.35,95.65,M,MJFN
Siraha,2,Siraha 2,8.07,0,0,0,0,0,0,62.58,40.12,62,8,92,M,MJFN
Siraha,3,Siraha 3,5.14,0,0,0,0,0,0,57.78,39.68,31,9.68,90.32,M,MJFN
Siraha,4,Siraha 4,2.87,19.37,28.31,35.76,102.81,47.68,138.57,61.08,41.88,37,8.33,91.67,M,MJFN
Siraha,5,Siraha 5,27.91,0,0,0,0,0,0,58.3,45.22,34,4.35,95.65,M,CPNM
Siraha,6,Siraha 6,17.32,0,0,0,0,0,0,60.6,40.32,34,7.14,92.86,M,MJFN
Solukhumbu,1,Solukhumbu 1,47.26,3.56,8.32,7.13,73.65,11.88,80.78,47.99,43,42,0,100,M,CPNM
Sunsari,1,Sunsari 1,43.93,0,0,0,0,0,0,50.34,41.44,32,12.5,87.5,M,CPNM
Sunsari,2,Sunsari 2,24.75,0,0,0,0,0,0,56.83,43.45,50,9.09,90.91,M,UML
Sunsari,3,Sunsari 3,9.83,0,0,0,0,0,0,71.05,42.74,53,21.74,78.26,M,MJFN
Sunsari,4,Sunsari 4,7.54,12,13.34,5.33,46.68,25.34,52.01,63,44.07,66,0,100,M,MJFN
Sunsari,5,Sunsari 5,0.8,0,0,0,0,0,0,64.81,38.93,48,3.57,96.43,M,MJFN
Sunsari,6,Sunsari 6,24.38,0,0,0,0,0,0,53.51,47.1,47,5,95,M,UML
Surkhet,1,Surkhet 1,25,0,0,0,0,0,0,64.08,50,45,10,90,F,UML
Surkhet,2,Surkhet 2,30.06,22.15,15.64,24.76,188.93,37.79,213.69,62.59,44.5,45,25,75,M,UML
Surkhet,3,Surkhet 3,44.76,0,0,0,0,0,0,56.01,43.64,39,7.14,92.86,M,CPNM
Syangja,1,Syangja 1,25.34,0,0,0,0,0,0,48.01,47.18,46,0,100,M,UML
Syangja,2,Syangja 2,25.78,2.02,3.02,5.04,65.49,5.04,70.53,46.22,45.29,60,21.43,78.57,M,NC
